INFO  | 09/03/2024 08:50:24 PM | File run_example.py       | Line 66    | Writing log file to exp/msg_convnet/LanczosNetGeneral_synthetic_2024-Sep-03-20-50-21_24216/log_exp_24216.txt
INFO  | 09/03/2024 08:50:24 PM | File run_example.py       | Line 67    | Exp instance id = 24216
INFO  | 09/03/2024 08:50:24 PM | File run_example.py       | Line 68    | Exp comment = None
INFO  | 09/03/2024 08:50:24 PM | File run_example.py       | Line 69    | Config =
INFO  | 09/03/2024 08:50:24 PM | File pyg_runner.py        | Line 146   | Current Best Validation CrossEntropy = 689.34619140625
INFO  | 09/03/2024 08:50:24 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0001 iteration 00000010 = 169.90567016601562
INFO  | 09/03/2024 08:50:24 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0001 iteration 00000020 = 132.8106231689453
INFO  | 09/03/2024 08:50:24 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0001 iteration 00000030 = 12.857633590698242
INFO  | 09/03/2024 08:50:24 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0001 iteration 00000040 = 22.826770782470703
INFO  | 09/03/2024 08:50:25 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0001 iteration 00000050 = 0.6878730654716492
INFO  | 09/03/2024 08:50:25 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0001 iteration 00000060 = 10.530654907226562
INFO  | 09/03/2024 08:50:25 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0001 iteration 00000070 = 26.99103355407715
INFO  | 09/03/2024 08:50:25 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0001 iteration 00000080 = 54.07822799682617
INFO  | 09/03/2024 08:50:25 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0002 iteration 00000090 = 19.98181915283203
INFO  | 09/03/2024 08:50:25 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0002 iteration 00000100 = 34.05637741088867
INFO  | 09/03/2024 08:50:26 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0002 iteration 00000110 = 47.31175231933594
INFO  | 09/03/2024 08:50:26 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0002 iteration 00000120 = 18.97012710571289
INFO  | 09/03/2024 08:50:26 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0002 iteration 00000130 = 51.33423614501953
INFO  | 09/03/2024 08:50:26 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0002 iteration 00000140 = 38.046348571777344
INFO  | 09/03/2024 08:50:26 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0002 iteration 00000150 = 68.67313385009766
INFO  | 09/03/2024 08:50:26 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0002 iteration 00000160 = 16.432048797607422
INFO  | 09/03/2024 08:50:26 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0002 iteration 00000170 = 36.8792610168457
INFO  | 09/03/2024 08:50:27 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0003 iteration 00000180 = 26.271488189697266
INFO  | 09/03/2024 08:50:27 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0003 iteration 00000190 = 21.35910415649414
INFO  | 09/03/2024 08:50:27 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0003 iteration 00000200 = 12.30542278289795
INFO  | 09/03/2024 08:50:27 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0003 iteration 00000210 = 7.720429420471191
INFO  | 09/03/2024 08:50:27 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0003 iteration 00000220 = 8.819686889648438
INFO  | 09/03/2024 08:50:27 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0003 iteration 00000230 = 17.350894927978516
INFO  | 09/03/2024 08:50:28 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0003 iteration 00000240 = 13.106058120727539
INFO  | 09/03/2024 08:50:28 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0003 iteration 00000250 = 10.294201850891113
INFO  | 09/03/2024 08:50:28 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0003 iteration 00000260 = 3.799123764038086
INFO  | 09/03/2024 08:50:28 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0004 iteration 00000270 = 19.779983520507812
INFO  | 09/03/2024 08:50:28 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0004 iteration 00000280 = 17.887027740478516
INFO  | 09/03/2024 08:50:28 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0004 iteration 00000290 = 9.780444145202637
INFO  | 09/03/2024 08:50:29 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0004 iteration 00000300 = 28.725107192993164
INFO  | 09/03/2024 08:50:29 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0004 iteration 00000310 = 18.18895149230957
INFO  | 09/03/2024 08:50:29 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0004 iteration 00000320 = 13.064982414245605
INFO  | 09/03/2024 08:50:29 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0004 iteration 00000330 = 40.931278228759766
INFO  | 09/03/2024 08:50:29 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0004 iteration 00000340 = 5.920286655426025
INFO  | 09/03/2024 08:50:29 PM | File pyg_runner.py        | Line 183   | Loss @ epoch 0004 iteration 00000350 = 12.515713691711426
